id,Make,Driver,Manager,Acceleration 0 - 100 km/h,Top Speed,ER,Total Power,Total Torque,Drive,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Charging Cost,Maintenance Cost,Date,Range,Month
1,Nissan ARIYA,Alice,Ramesh,3.12,160,295.3,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-10-31,328.15,10
2,Nissan ARIYA,Alice,Ramesh,1.88,160,270.8,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-02-09,300.93,2
3,Nissan ARIYA,Charlie,Ramesh,0.0,160,269.0,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-05-17,298.93,5
4,Honda Clarity EV,Ethan,Sneha,1.67,180,373.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-03-28,414.94,3
5,Hyundai Ioniq 5,Charlie,Vikram,2.16,185,334.1,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-04-02,371.27,4
6,Honda Clarity EV,Charlie,Sneha,0.56,180,359.3,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-01-19,399.27,1
7,Maruti Jimny EV,Diana,Ananya,0.71,140,183.1,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-02-02,203.47,2
8,Honda Clarity EV,Alice,Sneha,1.11,180,376.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-08-05,418.27,8
9,Citroen eC3,Ivan,Maya,1.82,110,134.2,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-11-07,149.13,11
10,Honda Clarity EV,Diana,Sneha,0.0,180,347.9,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-07-03,386.6,7
11,Hyundai Ioniq 5,Julia,Vikram,0.0,185,337.7,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-12-25,375.27,12
12,Hyundai Ioniq 5,Alice,Vikram,1.08,185,334.1,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-05-27,371.27,5
13,Hyundai Ioniq 5,Julia,Vikram,0.0,185,364.9,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-03-19,405.49,3
14,Nissan ARIYA,Bob,Ramesh,0.0,160,290.7,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-08-30,323.04,8
15,Nissan ARIYA,George,Ramesh,1.25,160,283.8,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-08-27,315.37,8
16,Nissan ARIYA,Diana,Ramesh,1.88,160,283.6,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-05-06,315.15,5
17,Citroen eC3,Ethan,Maya,3.64,110,133.9,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-01-04,148.8,1
18,Maruti Jimny EV,Hannah,Ananya,2.14,140,189.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-12-14,210.69,12
19,Hyundai Ioniq 5,George,Vikram,0.0,185,348.6,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-10-31,387.38,10
20,Citroen eC3,Hannah,Maya,4.55,110,136.8,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-02-19,152.02,2
21,Hyundai Ioniq 5,Diana,Vikram,0.54,185,342.4,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-04-25,380.49,4
22,Honda Clarity EV,Diana,Sneha,2.78,180,346.0,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-10-31,384.49,10
23,Citroen eC3,George,Maya,2.73,110,134.6,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-10-20,149.57,10
24,Maruti Jimny EV,Ethan,Ananya,1.43,140,177.1,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-03-03,196.8,3
25,Nissan ARIYA,Hannah,Ramesh,0.62,160,292.2,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-11-15,324.71,11
26,Hyundai Ioniq 5,Ivan,Vikram,0.0,185,331.9,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-06-05,368.82,6
27,Nissan ARIYA,George,Ramesh,0.62,160,268.9,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-10-02,298.81,10
28,Nissan ARIYA,Charlie,Ramesh,0.0,160,295.5,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-07-13,328.37,7
29,Honda Clarity EV,Ivan,Sneha,1.11,180,364.2,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-04-12,404.72,4
30,Honda Clarity EV,Hannah,Sneha,1.11,180,370.2,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-09-15,411.38,9
31,Nissan ARIYA,Julia,Ramesh,0.0,160,288.5,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-09-20,320.59,9
32,Nissan ARIYA,Hannah,Ramesh,3.12,160,299.1,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-11-09,332.37,11
33,Citroen eC3,Ivan,Maya,4.55,110,132.7,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-10-08,147.46,10
34,Maruti Jimny EV,Fiona,Ananya,2.86,140,185.4,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-01-08,206.03,1
35,Hyundai Ioniq 5,Diana,Vikram,0.54,185,346.4,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-10-27,384.94,10
36,Honda Clarity EV,Diana,Sneha,1.11,180,361.8,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-11-13,402.05,11
37,Maruti Jimny EV,Fiona,Ananya,2.86,140,184.1,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-03-12,204.58,3
38,Nissan ARIYA,Alice,Ramesh,0.62,160,272.9,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-03-11,303.26,3
39,Hyundai Ioniq 5,Charlie,Vikram,1.08,185,348.1,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-08-06,386.83,8
40,Citroen eC3,Bob,Maya,4.55,110,134.0,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-01-24,148.91,1
41,Citroen eC3,Ethan,Maya,3.64,110,130.7,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-10-17,145.24,10
42,Citroen eC3,George,Maya,0.0,110,136.6,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-09-21,151.8,9
43,Maruti Jimny EV,Ivan,Ananya,2.86,140,185.9,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-01-01,206.58,1
